Parameter,Mean,Median,HPD_lower,HPD_higher,q_lower,q_higher,Rhat,n_eff
lambda[1],1.3313090607,1.3317999999999999,0.652279,1.97795,0.6612849250000001,1.9930682499999994,1.0012716, 2920.211
lambda[2],0.8335861044333334,0.8377445,0.161593,1.52853,0.14048465000000007,1.511243,1.0010213, 2642.860
lambda[3],1.249238175825,1.24933,0.562255,1.88434,0.5876187000000002,1.9200304999999998,1.0007307, 2536.811
lambda[4],2.264488095,2.26265,1.58012,2.9008,1.60939075,2.9349882499999995,1.0017546, 2807.255
lambda[5],0.7058441896493334,0.7068479999999999,0.0330778,1.36041,0.04197412000000034,1.37268025,1.0012232, 2684.086
lambda[6],1.2034799132333334,1.20016,0.502014,1.8658,0.522594125,1.8920705,1.0008765, 2654.811
lambda[7],1.1718260243416667,1.1693250000000002,0.501482,1.84876,0.5056009250000001,1.8542902499999998,1.0013236, 2779.165
lambda[8],2.4960318075,2.498395,1.83092,3.17883,1.81961825,3.1712355,1.0013754, 2424.316
lambda[9],2.8600156683333333,2.85916,2.14554,3.51112,2.179879,3.5588064999999998,1.0015648, 2402.356
lambda[10],-0.48609724701832085,-0.48441,-1.19242,0.208282,-1.1821867499999998,0.22182797499999982,1.0012275, 2965.349
lambda[11],0.5507404730068917,0.5551385,-0.124409,1.21647,-0.12313054999999984,1.2172212499999997,1.0012897, 2460.862
lambda[12],0.10465985663245833,0.10369149999999999,-0.544807,0.799796,-0.57049345,0.781595325,1.0015412, 2651.875
lambda[13],0.42319487544768336,0.423295,-0.239644,1.11187,-0.2508905749999999,1.1027017499999996,1.0018644, 2340.336
lambda[14],-0.399025427736045,-0.3985345,-1.13881,0.356773,-1.14291375,0.3541819,1.0008644, 3294.768
lambda[15],0.38957603384420836,0.3918005,-0.28527,1.04313,-0.28021245,1.0500804999999998,1.0009300, 2756.539
lambda[16],0.939525867002,0.9402980000000001,0.257385,1.62398,0.2578992000000001,1.6246414999999996,1.0013939, 2965.528
lambda[17],-0.028604268843725,-0.02726855,-0.708796,0.622,-0.69503535,0.6374791,1.0013059, 2386.744
lambda[18],-0.7407063099338334,-0.7376615,-1.4602,-0.00897694,-1.478953,-0.02803087000000067,1.0006041, 3616.172
lambda[19],1.0277418021775,1.028225,0.330381,1.6705,0.35200900000000046,1.6954497499999999,1.0011473, 2344.633
lambda[20],-0.2562979227811583,-0.25942,-0.938324,0.424054,-0.93680890000000006,0.4263772999999994,1.0011131, 2766.026
lambda[21],0.3952646842066083,0.39240600000000003,-0.257351,1.06865,-0.25905227499999994,1.0678112499999999,1.0005970, 2689.480
lambda[22],0.7702465453728333,0.768231,0.107662,1.43035,0.10278402500000032,1.42724825,1.0018264, 2585.424
lambda[23],-0.28259391773038334,-0.284023,-1.00796,0.380541,-0.9792387,0.40982817499999985,1.0010761, 2998.188
lambda[24],0.21045533422295,0.2112175,-0.456277,0.898882,-0.4702865249999999,0.8874412999999999,1.0011794, 2675.632
lambda[25],0.7393636827132,0.7392725,0.0729107,1.41889,0.06825250500000019,1.4153494999999998,1.0011469, 2815.839
lambda[26],-0.49935714311009166,-0.4948185,-1.28829,0.26956,-1.2848412499999997,0.2731602749999998,1.0004817, 3419.169
lambda[27],-0.192081272702925,-0.1909465,-0.879304,0.465132,-0.8705610999999999,0.4773306999999998,1.0006206, 2641.865
lambda[28],0.9334486071725,0.930812,0.301424,1.64139,0.2691758750000004,1.6120444999999999,1.0008772, 2746.688
lambda[29],-0.10807412447303,-0.10781199999999999,-0.798826,0.584424,-0.797805825,0.5868958999999999,1.0008873, 2594.389
lambda[30],0.720710525803,0.7220765,0.0466422,1.38907,0.05301710000000004,1.3991325,1.0009698, 2573.003
lambda[31],-0.5736220320656916,-0.572809,-1.49781,0.370683,-1.5201322499999999,0.35806557499999986,1.0002004, 5267.263
lambda[32],0.1502560853305,0.150793,-0.583268,0.887106,-0.582898575,0.8880170999999999,1.0008681, 3020.305
lambda[33],-0.15124749035868335,-0.147805,-0.845438,0.57119,-0.8636331249999991,0.5564512749999999,1.0011414, 3093.576
lambda[34],-0.6230547920005833,-0.616781,-1.34219,0.103701,-1.36662525,0.08704048499999997,1.0006877, 3357.240
lambda[35],-0.137870527605075,-0.136181,-0.949813,0.679902,-0.9440712999999997,0.686833875,1.0010210, 3728.487
