variable,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
prior_lambda_std,0.5990736839394271,0.001458493786102856,0.05939914375094422,0.4917111236866351,0.557453882861134,0.5968806531999316,0.635438309829944,0.7245627998111649,1658.6364413133324,1.0007724170745655
lambda[1],-0.48881622648758277,0.004558898392449314,0.27531178621655295,-1.034295226718595,-0.6698334759855331,-0.48693727235120804,-0.3054146617562229,0.057224172804080334,3646.9497764513194,1.0004691327858732
lambda[2],1.185452656919021,0.0043561634823046725,0.17884556482195932,0.8524788936605211,1.0581220327485006,1.182649031344138,1.3014056833787715,1.5472657673554098,1685.5747199027867,1.001111886940612
lambda[3],-0.6749098426275062,0.0059237148742011594,0.3927669255000123,-1.4628010290289997,-0.9425372891588175,-0.6690339287295916,-0.40736601187611277,0.05817228363734435,4396.241335271717,0.9994990272824154
lambda[4],0.18358501783051784,0.0042290521226159535,0.18660242188413842,-0.17874960129572276,0.056987314977923274,0.18168345679317882,0.30946730722053584,0.5546627140049237,1946.9216589613068,1.001414463418878
lambda[5],0.08048766885032223,0.004746527048754415,0.28997258730728137,-0.4925899920169697,-0.11997406336604102,0.08212873308271124,0.2796761472752011,0.6384334009264172,3732.1747214410925,0.9994518290086098
lambda[6],0.4318936404838284,0.004283670223037214,0.2565227485900539,-0.07173548519651618,0.26007775798301547,0.4289894271144873,0.6015869896871953,0.9468205906839011,3586.0778255285572,0.999839544401114
lambda[7],0.3714012589032674,0.0041811668603105685,0.18358839998023738,0.011898648619447392,0.2516891520140535,0.37244889260879144,0.4926444235575172,0.7413749625066077,1927.9487039465678,1.0013485729720852
lambda[8],-0.4314452508659584,0.0048665513060671605,0.3235404650005757,-1.0609769056831388,-0.653631905912321,-0.43032916124460374,-0.21007943137367058,0.18837489778287983,4419.921926336916,1.0000755068795502
lambda[9],-0.507233666700899,0.0038769163822690907,0.21275427522019208,-0.9422592425667142,-0.6457574647120248,-0.5040509844826933,-0.36262089258704144,-0.09415492885056395,3011.5059340648054,1.0002257177820133
lambda[10],-0.12296177191333837,0.00489187496991017,0.32950349193861883,-0.7786771459239751,-0.33815983335493177,-0.12142115763491348,0.09327134793054129,0.5155522928321635,4537.0059191348855,0.9999449477818004
lambda[11],0.5589281379188935,0.0038399214977009157,0.20685176726989632,0.1575674861471893,0.4204471279506182,0.5579999701244,0.6997508277331119,0.9663537706040944,2901.842116876192,1.0002382625666726
lambda[12],-0.6295940647853927,0.004194166856873715,0.26295322043906083,-1.1425545531298598,-0.8073167944869155,-0.6241415376975965,-0.44961946659250857,-0.1169916540337946,3930.6609127490487,0.999202266647478
lambda[13],-0.6971520950644238,0.0045830207826602805,0.2820677122589005,-1.2452808085597535,-0.8956917999962327,-0.6975548614577123,-0.502522268747762,-0.16951154324581932,3787.940067574783,0.9996938505009564
lambda[14],-0.12681773308595523,0.006106234297539943,0.378037186713394,-0.861363319062327,-0.3876293541333495,-0.12731656446988637,0.11854981355587633,0.6076306741538042,3832.852588510844,0.9996904004902709
lambda[15],0.04200037216504071,0.004334983380355342,0.2013560817967736,-0.34585938429232493,-0.09599373475814045,0.03896658612050137,0.17804143875114173,0.44414307112497764,2157.5190036235713,1.000707104708885
lambda[16],-0.8386667243001512,0.004519458018442277,0.3076807136609787,-1.4425137209066985,-1.0430696903658818,-0.8325714244007527,-0.6283043456764372,-0.2448844221947927,4634.766245216486,0.9993590890801349
lambda[17],0.47478070149163715,0.0038002072619146444,0.22625229437634728,0.0325247082321797,0.32233774437593765,0.47195589072850597,0.6200991588312165,0.9397213767979875,3544.634147096702,0.9998761372330043
lambda[18],0.1421945448384583,0.00475946751457187,0.32086696923756625,-0.4770874298987399,-0.07486267525012025,0.1382124440894656,0.3547486112489243,0.7795521899169086,4544.993751316676,1.0003617626168517
lambda[19],-0.14362025483275748,0.004362238640535802,0.28385748711742,-0.7089708629611251,-0.3343460487859147,-0.13823494468677267,0.044067173691587885,0.4225573999759337,4234.3023623239715,1.000157875049745
lambda[20],-0.7603912844456667,0.0059199318704361865,0.3591901112183505,-1.4932970271091213,-0.9895893135079723,-0.7522457617074075,-0.5143949584664202,-0.08334172939876205,3681.4196497209464,0.9996174423140978
lambda[21],-0.04868491319239116,0.00355615159591091,0.17700601377537678,-0.39354553346020077,-0.16593833113860507,-0.050237534912441706,0.07065106735563816,0.2942498008621697,2477.510540608637,1.000916729710692
lambda[22],-0.3094616730440027,0.0038085141085776003,0.20196823818503576,-0.702813228568942,-0.44769167231248164,-0.3103709272689813,-0.17278263052615628,0.0888408753839266,2812.2570653536804,1.000087756840635
lambda[23],-0.0607532399698716,0.004246456860173496,0.25729038120181963,-0.5631080105982318,-0.23317559905318425,-0.05944485637623809,0.11127689492706778,0.44515652864238814,3671.078471957833,1.0004525490769047
lambda[24],-0.5652203700997247,0.003788561043358218,0.23627604330030147,-1.0315331543722102,-0.719074943001511,-0.5674041819377698,-0.40776277007088035,-0.10362842631815963,3889.4733539286076,0.9999919044778424
lambda[25],-0.32826587075378383,0.00730758755411153,0.5038516629502702,-1.3278452430506398,-0.6693836771477566,-0.3267407998566207,0.011049426720961408,0.6854662860021776,4753.979861261509,1.000298823652141
lambda[26],0.029010736699009183,0.004819833798025026,0.28296711132095814,-0.542635593779681,-0.15236379088231822,0.025388803555828073,0.21643921174724606,0.5774636543542568,3446.734229224106,1.0007775722937118
lambda[27],-0.41538268441417214,0.003882826362954046,0.2378037220256669,-0.878603029346881,-0.5700247284980526,-0.41111102307561986,-0.2547347985973571,0.04318056673515713,3750.9507009348827,1.0002491402694516
lambda[28],0.10185199083441643,0.003672806599095687,0.17546688039351696,-0.22696034998777453,-0.016432808122766547,0.09821882108772535,0.21724939055459402,0.45400214769592984,2282.4127757314513,0.9997683342909243
lambda[29],-0.22278315582944314,0.00456576606024652,0.29720988061987397,-0.801378002513696,-0.4292534097956504,-0.22081868278796124,-0.016983957691385894,0.3632515455061107,4237.397203794789,1.0005275804060878
lambda[30],-0.31079836747183587,0.0039529496385950465,0.2513237434425177,-0.8001560208283423,-0.47857408304505517,-0.3113688750100919,-0.135417511958448,0.18795701158501765,4042.262167603646,1.0007740093456872
lambda[31],0.25009035975016347,0.004387935240001268,0.2430235384573535,-0.2122129260143009,0.0821297821888893,0.25610152297828903,0.41137040885770104,0.729272869897307,3067.4413043427217,1.0007007550278915
lambda[32],0.017741957652639785,0.0035000468273832007,0.17429281943161243,-0.33291723525818484,-0.10007514938394209,0.0188827719663053,0.13404994199306677,0.35340971073453065,2479.769310386023,1.0022347557069249
lambda[33],-0.2391654683994563,0.003576271634491915,0.1875939729711478,-0.6080001796209712,-0.36295105044923415,-0.23983392502131248,-0.11712490373160868,0.13429658564254005,2751.5459280463233,1.0003771147293803
lambda[34],-0.37119589265165814,0.0049439272598542335,0.3423232997846662,-1.056769773841947,-0.5942284757261264,-0.3693999523356335,-0.13584514606537326,0.28555371864501394,4794.339396572295,0.9996135869884281
lambda[35],1.8728564405522545,0.004925353677917005,0.2252851287309635,1.4383209859504729,1.7181003296391315,1.868306773923432,2.0181893557891892,2.32404693836384,2092.1374126217675,0.9998989680318395
lambda[36],-0.3133878633182083,0.008837710996773574,0.5649682950027773,-1.4468767033562138,-0.6912701478382868,-0.3034474677471293,0.06376791268349391,0.7840353828048195,4086.6605204761895,1.000099284399101
lambda[37],-0.17064819081069224,0.0037488860247327175,0.1937993745456924,-0.5488253943805745,-0.3018286765268007,-0.16926521843368883,-0.038991808134318365,0.20317837707940814,2672.392647315347,1.0005465073381035
lambda[38],0.9025826044861022,0.00446262059624687,0.19348869855364437,0.5144867306498573,0.7742707431608712,0.9023934934042559,1.0308317207392077,1.2788190837857336,1879.8849713387915,1.0009183882063428
lambda[39],0.07886108461050663,0.003593830994265485,0.17800333109959643,-0.2689640288832349,-0.03644756597648187,0.07452254812248157,0.19636482254748777,0.42720834285950976,2453.245210142258,1.0013816476899866
lambda[40],-0.004128318797730385,0.00384107014494966,0.1962027579721396,-0.402539066089561,-0.13442296229656925,-0.0040911351732769614,0.12894233205660988,0.3776140878334057,2609.1902033015,1.0004307731479964
lambda[41],-0.7244917239297108,0.007507630953738417,0.4844381517456261,-1.6678675959873699,-1.0516630608207778,-0.728502851823513,-0.38261587156499105,0.20467422184651818,4163.617685405792,0.9994444378805065
lambda[42],-0.5143389372469366,0.004060380833564598,0.2516026022601045,-1.0204119974452701,-0.6786526339441432,-0.5068699257485172,-0.3451575909513134,-0.036885530916192205,3839.694918305665,0.9996779347041359
lambda[43],-0.29219319253321985,0.003926329796051554,0.2364124200051209,-0.7521408507406645,-0.45050600960943477,-0.290076817170716,-0.13045734503881143,0.16769325618143846,3625.492621700856,1.0012276629782708
lambda[44],0.6034638345603928,0.004002720459088214,0.18945625773151842,0.2407035007994747,0.47185657097341166,0.6039451334841275,0.7321145153314614,0.9828231985617595,2240.306232609207,1.0006273135515853
lambda[45],0.9728207047626832,0.004314580250010265,0.17539248578365998,0.6425463966655275,0.851361240097499,0.9690449932273448,1.0868440514483182,1.321624509525455,1652.5129220528393,0.9999834024581051
lambda[46],0.07115496585843595,0.0038769379758945275,0.19361632569781193,-0.29808988747958887,-0.055787468796848705,0.06746818074451834,0.20332002862732607,0.45449670418684857,2494.0562379478265,1.0003436849083118
lambda[47],-0.8350556475726878,0.0062747376371857155,0.4259532733903942,-1.7102482411156155,-1.11359738593099,-0.8262925530766485,-0.5489496257891882,-0.023068984606193773,4608.215464535078,1.0001618629227058
lambda[48],-0.2915697132737429,0.0037779886976736757,0.2069467974576178,-0.6976073020958743,-0.42695997329315577,-0.292592951935951,-0.1529259811650961,0.1193455504175848,3000.517135571441,1.002708525010698
lambda[49],0.26745353693793805,0.005191094880284961,0.31860604498840234,-0.36119915334847996,0.0588388650736788,0.2692862570236725,0.47452116793431653,0.9051146340946213,3766.9520277620086,0.9994335544034889
lambda[50],-0.34552977835871584,0.0042072458081264625,0.2447156880070959,-0.8427894126321251,-0.5046319133735013,-0.34342246678878363,-0.18299168643889446,0.13509911990617898,3383.201388700129,1.000526642116976
lambda[51],0.48123986720264916,0.005168560701155373,0.2638808574938051,-0.019295282340129047,0.2951745508574337,0.4810689673811336,0.6605878654660337,1.0024219587842538,2606.6128451478016,1.0026012377480866
lambda[52],-0.2337761549065219,0.003999285680535082,0.2748087187294062,-0.7606716088433619,-0.4200465230284062,-0.23826851313905395,-0.0441709315014681,0.3052144564335003,4721.67573497051,0.999403478304058
lambda[53],-0.05440679184970292,0.004150122861862345,0.2484888866323874,-0.5443035724310393,-0.22578828344151122,-0.05472849812963677,0.11788368795204962,0.42312083393532013,3585.023712315964,1.0006966660226284
lambda[54],-0.6129113064509544,0.003320753156071403,0.21165618189994273,-1.028593404661202,-0.7556465972614741,-0.6175500477076215,-0.4672814404843843,-0.2132791878764359,4062.4565307391367,1.0001097901766844
lambda[55],-0.5400004424240222,0.005477527248324272,0.3338494870107003,-1.2062975908267826,-0.761767005413476,-0.5354093719635231,-0.3130701828369339,0.09653695032632233,3714.7734518984307,0.9991747429680312
lambda[56],0.9238046132124623,0.004417292346702311,0.20443720278227168,0.5368243691869496,0.7812672891481274,0.9279798618972659,1.0587889201345941,1.3328294969653014,2141.9413478172182,1.0009298728068348
lambda[57],0.6580850942335552,0.0043205192527505315,0.20757249755339394,0.2569706794181578,0.5214496382930411,0.6531916018039923,0.7935530412387891,1.077448373127938,2308.1696821178484,0.999287101280447
lambda[58],0.596764409819179,0.004241763818829517,0.25079047773196556,0.10754119537485285,0.4256779639351064,0.595192175741509,0.7629270611747769,1.0916525254525764,3495.659466509919,0.9991397747050744
lambda[59],-0.5036918640928293,0.006624985637068637,0.4384810278963394,-1.3911086447523626,-0.7990793236184021,-0.4960264556311392,-0.20074407772987266,0.3192347481774369,4380.581171661384,0.9993803774821994
lambda[60],0.41524614243275326,0.003808650137683451,0.17256259159917137,0.07978825930130758,0.29816559334281,0.41441807705681244,0.533193306398758,0.7420948461680003,2052.821315510236,1.000242453518513
lambda[61],0.19704792141658473,0.00425279521675688,0.20661525043117093,-0.20160000017488372,0.05702971600348648,0.19269222992496443,0.3386739687671788,0.6004442509365023,2360.3467395068224,1.0011610937398154
lambda[62],0.09696985685884874,0.004000623666054337,0.2166897664344194,-0.3399249687605035,-0.04759182213940717,0.099099477737123,0.23914878073706358,0.5299672480124672,2933.7385219544162,1.0017639250623114
lambda[63],-0.8899113024079784,0.004397961567559149,0.28068100853274086,-1.4500005091547838,-1.07461135698141,-0.8883961253132608,-0.7044658305796625,-0.32775386551123903,4073.0824078317855,0.9996778214501567
lambda[64],0.8968638482164715,0.00376764453952379,0.1770351536464371,0.5554789385217955,0.7771110150575269,0.8970983430434929,1.017399919055631,1.244123571894782,2207.8988834561715,1.0007562879639218
lambda[65],0.4911573844330611,0.004260810564169299,0.18338327132044752,0.14431029815273683,0.3660139203649398,0.4872551940822314,0.6189871815057827,0.8582017074743274,1852.4008844240884,1.0023700654521863
lambda[66],-0.17084214766231576,0.0038831400182634964,0.21886407979660025,-0.6166782432388102,-0.3169822892334642,-0.16467238601059273,-0.02034460424625486,0.24042020662673777,3176.748838893844,1.0008864628363847
lambda[67],0.008951420860113165,0.0038509343344514733,0.2086255575613538,-0.3927424739215528,-0.13357278701141687,0.008023505576100721,0.152190086506091,0.41058207143788983,2934.9641067574044,0.9998245704986605
lambda[68],-0.07573185325206269,0.003549838028552265,0.19258117682660422,-0.4632949316846521,-0.2071463911412717,-0.076392132005592,0.05477401838766433,0.30068049360966387,2943.137805290608,1.0012513564694463
lambda[69],0.2867754118167816,0.0038065712856573592,0.21099930592363014,-0.10439724260441788,0.14183948350701314,0.2846514288882003,0.43040969697315523,0.7100456610059397,3072.5157579737784,1.0006667769645023
lambda[70],0.291571755337241,0.003967905638259309,0.1759114298781758,-0.044222411413363576,0.1718771799574016,0.29038301433190594,0.41105764165864894,0.628926093826862,1965.4655967865851,1.0018346663259592
lambda[71],-0.5270877575780124,0.0053330613486353975,0.3388893632685466,-1.2013545720610481,-0.7521280000897388,-0.5233857793889982,-0.2974268101704269,0.12269937545999836,4037.9665452785603,1.0006274643802684
lambda[72],-0.1957251350161408,0.004577526416428543,0.29985452700033827,-0.7850866343150171,-0.3995105334029135,-0.19649596564080146,0.007938467325548098,0.37692308797458773,4291.009749811762,0.9996032219385882
lambda[73],0.2715787733467807,0.0040611348247033335,0.20346052478958424,-0.1440840394373306,0.1428867721096413,0.2712608667136784,0.40995841024021695,0.6564392767418787,2509.9525142320426,1.0004648683760933
lambda[74],-0.23687750475530012,0.0037721989902150957,0.21556935477375216,-0.6643944870396318,-0.37933712502140665,-0.2348380448745056,-0.09062878813832949,0.18523138168896308,3265.764431621473,0.999764851425272
lambda[75],0.20554583232927504,0.0036925972375507323,0.19596760044398384,-0.1731812246313984,0.07464726074544165,0.2029234467362835,0.3426825338416952,0.5856249283818689,2816.467011467216,1.0001276907958716
